DEPT,URL,,,,,,,,,,,,,,,,,,,,,
Shared Services Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=sharedservices&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Shared%20Services%20Canada",,,,,,,,,,,,,,,,,,,,,
Natural Sciences and Engineering Research Council of Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=sciencesengineeringresearch&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Natural%20Sciences%20and%20Engineering%20Research%20Council%20of%20Canada",,,,,,,,,,,,,,,,,,,,,
Canada School of Public Service,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=schoolpublicservice&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canada%20School%20of%20Public%20Service",,,,,,,,,,,,,,,,,,,,,
Royal Canadian Mounted Police,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=royalmountedpolice&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Royal%20Canadian%20Mounted%20Police",,,,,,,,,,,,,,,,,,,,,
Canada Revenue Agency,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=revenueagency&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canada%20Revenue%20Agency",,,,,,,,,,,,,,,,,,,,,
Canada Research Chairs,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=researchchairs&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Canada%20Research%20Chairs",,,,,,,,,,,,,,,,,,,,,
Public Service Commission,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=publicservicecommission&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Public%20Service%20Commission",,,,,,,,,,,,,,,,,,,,,
Public Safety Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=publicsafetycanada&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Public%20Safety%20Canada",,,,,,,,,,,,,,,,,,,,,
Public Health Agency of Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=publichealthagencyofcanada&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Public%20Health%20Agency%20of%20Canada",,,,,,,,,,,,,,,,,,,,,
Office of the Procurement Ombud,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=procurementombudsman&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Office%20of%20the%20Procurement%20Ombud",,,,,,,,,,,,,,,,,,,,,
Privy Council Office,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=privycouncil&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Privy%20Council%20Office",,,,,,,,,,,,,,,,,,,,,
Prairies Economic Development Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=prairieseconomicdevelopment&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Prairies%20Economic%20Development%20Canada",,,,,,,,,,,,,,,,,,,,,
Polar Knowledge Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=polarknowledge&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Polar%20Knowledge%20Canada",,,,,,,,,,,,,,,,,,,,,
Patented Medicine Prices Review Board,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=patentedmedicinepricesreviewboard&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Patented%20Medicine%20Prices%20Review%20Board",,,,,,,,,,,,,,,,,,,,,
Parole Board of Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=paroleboard&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Parole%20Board%20of%20Canada",,,,,,,,,,,,,,,,,,,,,
Parks Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=parkscanada&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Parks%20Canada",,,,,,,,,,,,,,,,,,,,,
Pacific Economic Development Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=pacificeconomicdevelopment&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Pacific%20Economic%20Development%20Canada",,,,,,,,,,,,,,,,,,,,,
One Canadian Economy ,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=onecanadianeconomy&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=One%20Canadian%20Economy%20",,,,,,,,,,,,,,,,,,,,,
Office of the Correctional Investigator,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=officeofthecorrectionalinvestigatorofcanada&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Office%20of%20the%20Correctional%20Investigator",,,,,,,,,,,,,,,,,,,,,
Office of the Chief Accessibility Officer,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=officeofthechiefaccessibilityofficer&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Office%20of%20the%20Chief%20Accessibility%20Officer",,,,,,,,,,,,,,,,,,,,,
Infrastructure Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=officeinfrastructure&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Infrastructure%20Canada",,,,,,,,,,,,,,,,,,,,,
Natural Resources Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=naturalresourcescanada&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Natural%20Resources%20Canada",,,,,,,,,,,,,,,,,,,,,
National Research Council Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=nationalresearchcouncil&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=National%20Research%20Council%20Canada",,,,,,,,,,,,,,,,,,,,,
National Film Board,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=nationalfilmboard&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=National%20Film%20Board",,,,,,,,,,,,,,,,,,,,,
Canada Energy Regulator,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=nationalenergyboard&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Canada%20Energy%20Regulator",,,,,,,,,,,,,,,,,,,,,
National Battlefields Commission,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=nationalbattlefieldscommission&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=National%20Battlefields%20Commission",,,,,,,,,,,,,,,,,,,,,
Military Police Complaints Commission of Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=militarypolicecomplaints&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Military%20Police%20Complaints%20Commission%20of%20Canada",,,,,,,,,,,,,,,,,,,,,
Library and Archives Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=libraryarchives&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Library%20and%20Archives%20Canada",,,,,,,,,,,,,,,,,,,,,
Leader of the Government in the House of Commons,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=lawcommissionofcanada&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Leader%20of%20the%20Government%20in%20the%20House%20of%20Commons",,,,,,,,,,,,,,,,,,,,,
Judicial Compensation and Benefits Commission,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=judicialcompensationandbenefitscommission&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Judicial%20Compensation%20and%20Benefits%20Commission",,,,,,,,,,,,,,,,,,,,,
Intergovernmental Affairs,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=intergovernmentalaffairs&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Intergovernmental%20Affairs",,,,,,,,,,,,,,,,,,,,,
Canadian Intellectual Property Office,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=intellectualpropertyoffice&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Intellectual%20Property%20Office",,,,,,,,,,,,,,,,,,,,,
Canadian Institutes of Health Research,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=instituteshealthresearch&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Institutes%20of%20Health%20Research",,,,,,,,,,,,,,,,,,,,,
Indigenous Services Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=indigenousservicescanada&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Indigenous%20Services%20Canada",,,,,,,,,,,,,,,,,,,,,
Impact Assessment Agency of Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=impactassessmentagency&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Impact%20Assessment%20Agency%20of%20Canada",,,,,,,,,,,,,,,,,,,,,
Immigration and Refugee Board of Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=immigrationrefugee&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Immigration%20and%20Refugee%20Board%20of%20Canada",,,,,,,,,,,,,,,,,,,,,
Canadian Grain Commission,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=graincommission&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Grain%20Commission",,,,,,,,,,,,,,,,,,,,,
Leader of the Government in the House of Commons,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=governmenthouseleader&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Leader%20of%20the%20Government%20in%20the%20House%20of%20Commons",,,,,,,,,,,,,,,,,,,,,
Canadian Food Inspection Agency,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=foodinspectionagency&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Food%20Inspection%20Agency",,,,,,,,,,,,,,,,,,,,,
Fisheries and Oceans Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=fisheriesoceans&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Fisheries%20and%20Oceans%20Canada",,,,,,,,,,,,,,,,,,,,,
Financial Transactions and Reports Analysis Centre of Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=financialtransactionsreportsanalysis&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Financial%20Transactions%20and%20Reports%20Analysis%20Centre%20of%20Canada",,,,,,,,,,,,,,,,,,,,,
Financial Consumer Agency of Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=financialconsumeragency&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Financial%20Consumer%20Agency%20of%20Canada",,,,,,,,,,,,,,,,,,,,,
FedNor,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=fednor&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=FedNor",,,,,,,,,,,,,,,,,,,,,
Federal Economic Development Agency for Southern Ontario,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=economicdevelopmentsouthernontario&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Federal%20Economic%20Development%20Agency%20for%20Southern%20Ontario",,,,,,,,,,,,,,,,,,,,,
Canada Economic Development for Quebec Regions,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=economicdevelopmentquebecregions&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canada%20Economic%20Development%20for%20Quebec%20Regions",,,,,,,,,,,,,,,,,,,,,
Transport Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentoftransport&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Transport%20Canada",,,,,,,,,,,,,,,,,,,,,
Environment and Climate Change Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentoftheenvironment&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Environment%20and%20Climate%20Change%20Canada",,,,,,,,,,,,,,,,,,,,,
Public Services and Procurement Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentofpublicworksandgovernmentservices&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Public%20Services%20and%20Procurement%20Canada",,,,,,,,,,,,,,,,,,,,,
Innovation,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentofindustry&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Innovation,%20Science%20and%20Economic%20Development%20Canada",,,,,,,,,,,,,,,,,,,,,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentofindustry&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Innovation,%20Science%20and%20Economic%20Development%20Canada"
Health Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentofhealth&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Health%20Canada",,,,,,,,,,,,,,,,,,,,,
Global Affairs Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentofforeignaffairstradeanddevelopment&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Global%20Affairs%20Canada",,,,,,,,,,,,,,,,,,,,,
Employment and Social Development Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentofemploymentandsocialdevelopment&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Employment%20and%20Social%20Development%20Canada",,,,,,,,,,,,,,,,,,,,,
Immigration,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentofcitizenshipandimmigration&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Immigration,%20Refugees%20and%20Citizenship%20Canada",,,,,,,,,,,,,,,,,,,,,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentofcitizenshipandimmigration&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Immigration,%20Refugees%20and%20Citizenship%20Canada"
National Defence,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentnationaldefense&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=National%20Defence",,,,,,,,,,,,,,,,,,,,,
Department of Justice Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentjustice&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Department%20of%20Justice%20Canada",,,,,,,,,,,,,,,,,,,,,
Department of Finance Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=departmentfinance&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Department%20of%20Finance%20Canada",,,,,,,,,,,,,,,,,,,,,
Democratic Institutions,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=democraticinstitutions&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Democratic%20Institutions",,,,,,,,,,,,,,,,,,,,,
Crown-Indigenous Relations and Northern Affairs Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=crownindigenousrelationsandnorthernaffairscanada&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Crown-Indigenous%20Relations%20and%20Northern%20Affairs%20Canada",,,,,,,,,,,,,,,,,,,,,
Indigenous and Northern Affairs Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=crownindigenousrelationsandnorthernaffairscanada&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Indigenous%20and%20Northern%20Affairs%20Canada",,,,,,,,,,,,,,,,,,,,,
Correctional Service of Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=correctionalservice&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Correctional%20Service%20of%20Canada",,,,,,,,,,,,,,,,,,,,,
Canadian Conservation Institute,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=conservationinstitute&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Canadian%20Conservation%20Institute",,,,,,,,,,,,,,,,,,,,,
Competition Bureau Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=competitionbureau&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Competition%20Bureau%20Canada",,,,,,,,,,,,,,,,,,,,,
Communications Security Establishment,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=communicationssecurity&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Communications%20Security%20Establishment",,,,,,,,,,,,,,,,,,,,,
Transportation Safety Board of Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadiantransportationaccidentinvestigationandsafetyboard&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Transportation%20Safety%20Board%20of%20Canada",,,,,,,,,,,,,,,,,,,,,
Canadian Security Intelligence Service,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadiansecurityintelligenceservice&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Security%20Intelligence%20Service",,,,,,,,,,,,,,,,,,,,,
Canadian Radio-television and Telecommunications Commission,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadianradiotelevisionandtelecommunicationscommission&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Radio-television%20and%20Telecommunications%20Commission",,,,,,,,,,,,,,,,,,,,,
Canadian Nuclear Safety Commission,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadiannuclearsafetycommission&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Nuclear%20Safety%20Commission",,,,,,,,,,,,,,,,,,,,,
Canadian Northern Economic Development Agency,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadiannortherneconomicdevelopmentagency&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Northern%20Economic%20Development%20Agency",,,,,,,,,,,,,,,,,,,,,
Canadian International Trade Tribunal,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadianinternationaltradetribunal&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20International%20Trade%20Tribunal",,,,,,,,,,,,,,,,,,,,,
Canadian Heritage,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadianheritage&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Heritage",,,,,,,,,,,,,,,,,,,,,
Canadian Coast Guard,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadiancoastguard&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Coast%20Guard",,,,,,,,,,,,,,,,,,,,,
Canadian Centre for Occupational Health and Safety,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadiancentreforoccupationalhealthandsafety&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canadian%20Centre%20for%20Occupational%20Health%20and%20Safety",,,,,,,,,,,,,,,,,,,,,
Accessibility Standards Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadianaccessibilitystandardsdevelopmentorganization&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Accessibility%20Standards%20Canada",,,,,,,,,,,,,,,,,,,,,
Canada Research Coordinating Committee,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadaresearchcoordinatingcommittee&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Canada%20Research%20Coordinating%20Committee",,,,,,,,,,,,,,,,,,,,,
Canada Infrastructure Bank,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadainfrastructurebank&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-10-25&pick=100&format=atom&atomtitle=Canada%20Infrastructure%20Bank",,,,,,,,,,,,,,,,,,,,,
Canada Border Services Agency,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=canadaborderservicesagency&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Canada%20Border%20Services%20Agency",,,,,,,,,,,,,,,,,,,,,
Atlantic Canada Opportunities Agency,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=atlanticcanadaopportunities&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-0-23&pick=50&format=atom&atomtitle=Atlantic%20Canada%20Opportunities%20Agency",,,,,,,,,,,,,,,,,,,,,
Agriculture and Agri-Food Canada,"https://api.io.canada.ca/io-server/gc/news/en/v2?dept=agricultureagrifood&sort=publishedDate&orderBy=desc&publishedDate%3E=2021-07-23&pick=50&format=atom&atomtitle=Agriculture%20and%20Agri-Food%20Canada",,,,,,,,,,,,,,,,,,,,,
